공연명,공연장소,공연시작일,공연종료일,위도,경도,주소,이미지,예매링크
"너드커넥션 SUMMER LIVE, PULSE",무신사 개러지,2025-08-15,2025-08-15,37.5515747,126.919728,서울 마포구 서교동 368-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008903_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008903
노들인디션 VOL.4 극동아시아타이거즈 단독공연,노들섬 라이브하우스,2025-07-30,2025-07-30,37.51811975,126.9583277,서울 용산구 이촌동 302-146,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009791_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009791
더 로즈(The Rose) Once Upon A WRLD Tour in Seoul,블루스퀘어 SOL트래블홀,2025-08-30,2025-08-30,37.54061157,127.0026398,서울 용산구 한남동 727-56,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009724_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009724
"들국화, 전인권 40주년 콘서트",연세대학교 대강당,2025-09-20,2025-09-21,37.564491,126.938929,서울 서대문구 연세로 50 백주년기념관 2층,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010002_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010002
루 피아노 2nd Concert 너에게 루 가는 길,푸르지오 아트홀,2025-08-02,2025-08-02,37.56613954,126.9973287,서울 중구 을지로4가 323,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009326_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009326
루이스 내쉬와 친구들,푸르지오 아트홀,2025-07-25,2025-07-27,37.56613954,126.9973287,서울 중구 을지로4가 323,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009324_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009324
류수정 미니앨범 발매 기념 콘서트 〈STILL DRIVING〉,홍대 롤링홀,2025-08-01,2025-08-01,37.54852151,126.9201613,서울 마포구 서교동 402-22,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010087_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010087
모던테이블 x 경기소리프로젝트그룹 나비〈접점(ENCOUNTER)〉,국립극장,2025-07-24,2025-07-25,37.55281923,126.99957,서울 중구 장충동2가 산 14-67,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007199_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007199
뮤 내한공연 (MEW The Farewell Shows),노들섬 라이브하우스,2025-11-26,2025-11-26,37.51811975,126.9583277,서울 용산구 이촌동 302-146,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009793_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009793
뮤지컬 배우 이승현 콘서트 〈2025 SHank you〉 - We will SHank you,구름아래소극장,2025-07-26,2025-07-27,37.55419236,126.9285526,서울 마포구 서교동 337-11,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008102_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008102
"뮤지컬 집들이 콘서트 ＃44. 혜화동, 거리에서",동덕여자대학교 공연예술센터 코튼홀,2025-07-21,2025-07-21,37.583919,127.002958,서울 종로구 동숭길 134,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009849_p_s.jpg,https://tickets.interpark.com/goods/25009849
박강수 서울공연 8월,베짱이홀,2025-08-03,2025-08-03,37.54847918,126.9215284,서울 마포구 상수동 313-3,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010279_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010279
박성현콘서트,구름아래소극장,2025-08-30,2025-08-30,37.55419236,126.9285526,서울 마포구 서교동 337-11,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008725_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008725
밴드 설유진 콘서트 VOL.25,스페이스브릭,2025-09-13,2025-09-13,37.55120437,126.9196967,서울 마포구 서교동 395-15,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009862_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009862
"벌트vurt., 업체eobchae on Sync Next 25",세종문화회관 S씨어터,2025-09-05,2025-09-06,37.5727755,126.9751595,서울 종로구 세종로 81-7,http://ticketimage.interpark.com/rz/image/play/goods/poster/P0/P0004250_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=P0004250
삼익 뮤직 페스타 SMMF,삼익악기빌딩,2025-09-12,2025-09-13,37.51404727,127.0295491,서울 강남구 논현동 58-3,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010171_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010171
서울숲재즈페스티벌 2025,서울숲,2025-09-19,2025-09-21,37.54432223,127.0376178,서울 성동구 성수동1가 678-1,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25008574_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25008574
스탠드업 코미디 밍글쇼,쇼,2025-07-21,2025-07-31,37.509715,127.043615,서울 강남구 선릉로 575,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010288_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010288
스탠드업 코미디 빅쇼,브리티쉬 펍,2025-07-07,2025-07-25,37.5347341,126.9919986,서울 용산구 이태원동 118-23,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009510_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009510
양양첫번째단독콘서트 with 마블러스뮤직,스페이스브릭,2025-07-26,2025-07-26,37.55120437,126.9196967,서울 마포구 서교동 395-15,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010346_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010346
"여운 ; 스며들어, 네 곁에 머무는 노래",로데아트센터 콘서트홀,2025-08-30,2025-08-30,37.48312257,127.0103228,서울 서초구 서초동 1485-11,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009477_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009477
영등포아트홀 기획공연 ［마티네콘서트〈낮을 그리는 클래식〉 #3.파블로 피카소］,영등포아트홀,2025-08-21,2025-08-21,37.5262029,126.9001183,서울 영등포구 당산동3가 3,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25002739_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25002739
