보관함역,위도,경도,주소,상세위치
신도림역,37.50890848,126.8913125,서울 구로구 신도림동 460-26,2번 출입구 주변
신도림역,37.50890848,126.8913125,서울 구로구 신도림동 460-26,1번 출입구 게이트 내부 상가 주변
문래역,37.51797572,126.8947788,서울 영등포구 문래동3가 68-1,2번 출입구 통로
영등포구청역,37.52583053,126.8966774,서울 영등포구 당산동3가 270-1,3번 출입구 게이트 내부 계단 주변
당산역,37.53478432,126.9026118,서울 영등포구 당산동6가 323-1,"1,2번 출입구 주변"
합정역,37.54991316,126.9144541,서울 마포구 서교동 393,"1,2,3,4번 출입구 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,"2,8번 출입구 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,"2,8번 출입구 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,"2,8번 출입구 게이트 맞은편 화장실 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,"2,8번 출입구 게이트 맞은편 화장실 주변"
홍대입구역,37.55687074,126.9237786,서울 마포구 동교동 165,2번에서 3번 출입구 복도 사이
신촌역,37.55519817,126.9369808,서울 마포구 노고산동 31-11,지하1층  백화점 연결통로 주변
신촌역,37.55519817,126.9369808,서울 마포구 노고산동 31-11,5번 출입구 게이트 주변
신촌역,37.55519817,126.9369808,서울 마포구 노고산동 31-11,5번 출입구 게이트 주변
이대역,37.55681472,126.9464295,서울 마포구 염리동 8-85,5번 출입구 화장실 주변
아현역,37.55740618,126.9561464,서울 마포구 아현동 354-23,3번 출입구 ATM주변
충정로역,37.55976329,126.9644921,서울 서대문구 충정로3가 319-1,"B2층 1,2번 출입구 화장실 주변"
용답역,37.56212278,127.0508895,서울 성동구 용답동 127,"1,2번 출입구 사이 게이트 주변"
신답역,37.56983868,127.0470801,서울 성동구 용답동 129-2,1번 출입구 주변 게이트 주변
신설동역,37.57602997,127.0244567,서울 동대문구 신설동 76-5,10번 출입구 게이트 내부
도림천역,37.51450804,126.8826491,서울 구로구 신도림동 323-16,1번 출입구 게이트 주변
양천구청역,37.51238887,126.8657224,서울 양천구 신정동 276-7,2번 출입구 상가(던킨도너츠) 주변
신정네거리역,37.52022312,126.8528896,서울 양천구 신정동 1231,3번 출입구 주변
용두역,37.57406213,127.0382757,서울 동대문구 용두동 47-1,1번 출입구에서 3번 출입구 사이 통로
지축역,37.64814864,126.9138543,경기 고양시 덕양구 지축동 818-64,1번 출입구 게이트 주변
구파발역,37.63643579,126.9188528,서울 은평구 진관동 67-26,"1,4번 출입구 주변"
연신내역,37.61920415,126.921103,서울 은평구 갈현동 397,"6,7번 출입구 주변"
불광역,37.6100478,126.9303158,서울 은평구 대조동 13-10,"1,4,5번 출입구 주변"
녹번역,37.60080677,126.935828,서울 은평구 녹번동 55,"1,4,5번 출입구 주변"
홍제역,37.58879538,126.944158,서울 서대문구 홍제동 161-1,"지하2층 1,4번 출입구 주변"
홍제역,37.58879538,126.944158,서울 서대문구 홍제동 161-1,"지하2층 2,3번 출입구 주변"
무악재역,37.58256323,126.950231,서울 서대문구 홍제동 26-1,지하2층 복도 통로
독립문역,37.57446628,126.9579137,서울 서대문구 현저동 101,"3,4번 출입구 주변"
