공연명,공연장소,공연시작일,공연종료일,이미지,예매링크,위도,경도,주소
마르크 샤갈전: 유럽 아트 도슨트 투어,예술의전당 한가람미술관 1층,2025-06-26,2025-09-21,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009054_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009054,37.48045337,127.0142818,서울 서초구 서초동 710-1
모네에서 앤디워홀까지,세종문화회관 미술관,2025-05-16,2025-08-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25007142_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25007142,37.57185309,126.9761831,서울 종로구 세종로 81-3
"문도 픽사(Mundo Pixar): 픽사, 상상의 세계로",성수문화예술마당,2025-05-05,2025-09-28,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25004987_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25004987,37.54521672,127.0353732,서울 성동구 성수동1가 683
뮤지엄 테라피 展,예술의전당 한가람디자인미술관,2025-07-01,2025-08-10,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009259_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009259,37.47989132,127.0127033,서울 서초구 서초동 129-6
미셸 앙리 : VIVID,모다갤러리,2025-08-12,2025-12-14,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25010522_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25010522,37.53065972,126.9911754,서울 용산구 이태원동 34-158
북파크라운지,블루스퀘어,2025-07-04,2025-07-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25009721_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25009721,37.54086115,127.0025482,서울 용산구 한남동 727-56
"빛의 시어터 : 파라오의 이집트, 빛으로 깨어난 고대 문명",빛의 시어터,2025-05-01,2025-10-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25006103_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25006103,37.55507456,127.1109489,서울 광진구 광장동 22-1
서울역사박물관 인문학산책,서울역사박물관,2023-12-01,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/23/23017412_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23017412,37.57050032,126.9705464,서울 종로구 신문로2가 2-1
서울일러스트레이션페어V.19 2차 얼리버드 티켓,코엑스 C홀,2025-07-24,2025-07-27,http://ticketimage.interpark.com/rz/image/play/goods/poster/25/25005461_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=25005461,37.5112971,127.059148,서울 강남구 삼성동 159
선릉 인문학산책,선릉,2019-01-08,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/19/19000210_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19000210,37.50911053,127.0489285,서울 강남구 삼성동 131
"세계문화유산, 창덕궁",창덕궁 돈화문,2021-02-05,2025-12-31,http://ticketimage.interpark.com/rz/image/play/goods/poster/21/21000481_p_s.jpg,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=21000481,37.57785929,126.9899472,서울 종로구 와룡동 2-71
